antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Easy Listening, Electronic, Rock","Experimental, Hip-Hop, Spoken",0.18592964824120603,0.2663316582914573,0.11557788944723618,0.6216216216216216,2.3340132585415603,1.0,0.06605893790560845,1.9389806173725772,0.7020933977455718,0.3432835820895523,0.48426508700481297,0.5277919428862825
"Easy Listening, Electronic, Rock","Country, Experimental, Hip-Hop",0.18592964824120603,0.27638190954773867,0.11055276381909548,0.5945945945945946,2.1513513513513516,1.0,0.05916517259665161,1.7849246231155782,0.6574074074074076,0.31428571428571433,0.43975225225225234,0.4972972972972973
"Easy Listening, Electronic, Old-Time / Historic","Experimental, Pop, Spoken",0.19597989949748743,0.24623115577889448,0.10050251256281408,0.5128205128205129,2.0826792255363684,1.0,0.052246155400116165,1.5472097328749008,0.6465625,0.29411764705882354,0.35367521367521376,0.46049188906331767
"Easy Listening, Electronic, Rock","Blues, Experimental, Spoken",0.18592964824120603,0.2613065326633166,0.10050251256281408,0.5405405405405406,2.0686070686070686,1.0,0.051917880861594407,1.6077446053798405,0.634567901234568,0.28985507246376807,0.37801066372494946,0.4625779625779626
"Country, Easy Listening, Electronic","Experimental, Hip-Hop, Spoken",0.20100502512562815,0.2663316582914573,0.11055276381909548,0.55,2.0650943396226418,1.0,0.057018762152470905,1.6303740926856507,0.6455117209834191,0.3098591549295775,0.3866438356164384,0.4825471698113208
"Easy Listening, Electronic, Rock, Unknown","Experimental, Spoken",0.1306532663316583,0.3969849246231156,0.10552763819095477,0.8076923076923076,2.034566699123661,1.0,0.053660261104517555,3.135678391959797,0.5849160473437929,0.25000000000000006,0.6810897435897435,0.5367575462512171
"Easy Listening, Electronic, Rock","Experimental, Spoken, Unknown",0.18592964824120603,0.2814070351758794,0.10552763819095477,0.5675675675675675,2.0168918918918917,1.0,0.05320572712810283,1.661746231155779,0.6193415637860084,0.29166666666666663,0.3982233982233982,0.47128378378378377
"Easy Listening, Electronic, Rock","Experimental, Hip-Hop, Unknown",0.18592964824120603,0.2964824120603015,0.11055276381909548,0.5945945945945946,2.0054970224461752,1.0,0.05542789323501932,1.7353433835845895,0.6158810325476992,0.29729729729729737,0.42374517374517384,0.483737975263399
"Country, Experimental, Hip-Hop, Spoken","Easy Listening, Electronic",0.17587939698492464,0.3165829145728643,0.11055276381909548,0.6285714285714286,1.9854875283446713,1.0,0.054872351708290204,1.8399690761499807,0.6022727272727273,0.2894736842105263,0.45651260504201674,0.48888888888888893
"Easy Listening, Electronic, Rock","Blues, Experimental, Hip-Hop",0.18592964824120603,0.27638190954773867,0.10050251256281408,0.5405405405405406,1.955773955773956,1.0,0.0491149213403702,1.5749334909843336,0.6003086419753089,0.2777777777777778,0.3650525525525526,0.45208845208845216
"Easy Listening, Electronic, Rock, Unknown","Blues, Experimental",0.1306532663316583,0.3969849246231156,0.10050251256281408,0.7692307692307692,1.9376825705939629,1.0,0.04863513547637686,2.6130653266331647,0.5566473988439306,0.23529411764705885,0.6173076923076922,0.5111976630963972
"Easy Listening, Electronic, Rock, Unknown","Experimental, Hip-Hop",0.1306532663316583,0.4371859296482412,0.11055276381909548,0.8461538461538461,1.9354553492484527,1.0,0.053432994116310195,3.658291457286432,0.5559642669469259,0.2417582417582418,0.7266483516483516,0.5495137046861185
"Easy Listening, Electronic, Hip-Hop, Rock","Experimental, Spoken",0.1507537688442211,0.3969849246231156,0.11557788944723618,0.7666666666666667,1.9312236286919833,1.0,0.05573091588596248,2.5843503230437905,0.5677900694623104,0.26744186046511625,0.6130555555555557,0.528902953586498
"Electronic, International, Old-Time / Historic","Country, Experimental, Spoken",0.19597989949748743,0.2663316582914573,0.10050251256281408,0.5128205128205129,1.925495887760039,1.0,0.04830686093785511,1.5059508066649039,0.5978125000000001,0.2777777777777778,0.33596768528275384,0.4450895016932753
"Easy Listening, Experimental, Unknown","Hip-Hop, Rock, Spoken",0.23618090452261306,0.27638190954773867,0.12562814070351758,0.5319148936170213,1.9245647969052226,1.0,0.060352011312845635,1.5459113750571036,0.6289473684210527,0.3246753246753246,0.3531323877068558,0.4932301740812379
"Pop, Rock, Soul-RnB","Hip-Hop, Jazz, Old-Time / Historic",0.20603015075376885,0.2663316582914573,0.10552763819095477,0.5121951219512195,1.9231477220432582,1.0,0.05065528648266458,1.5040201005025127,0.6045810729355033,0.28767123287671237,0.33511526896090876,0.4542107685227796
"Pop, Rock, Soul-RnB","Jazz, Old-Time / Historic, Spoken",0.20603015075376885,0.2663316582914573,0.10552763819095477,0.5121951219512195,1.9231477220432582,1.0,0.05065528648266458,1.5040201005025127,0.6045810729355033,0.28767123287671237,0.33511526896090876,0.4542107685227796
"Experimental, Hip-Hop, Pop, Spoken","Easy Listening, Electronic",0.1658291457286432,0.3165829145728643,0.10050251256281408,0.6060606060606061,1.9143819143819145,1.0,0.04800383828691195,1.7348279860842677,0.5725903614457831,0.26315789473684215,0.4235739750445633,0.4617604617604618
"Easy Listening, Electronic, Rock","Blues, Experimental, Unknown",0.18592964824120603,0.2864321608040201,0.10050251256281408,0.5405405405405406,1.8871503082029397,1.0,0.04724628165955405,1.5530594147206622,0.5774691358024692,0.27027027027027023,0.3561096307575181,0.44570886676149835
"Blues, Easy Listening, Electronic","Experimental, Hip-Hop, Spoken",0.20100502512562815,0.2663316582914573,0.10050251256281408,0.5,1.8773584905660379,1.0,0.046968510896189496,1.4673366834170856,0.5849056603773585,0.273972602739726,0.3184931506849315,0.4386792452830189
"Easy Listening, International, Rock","Experimental, Hip-Hop, Spoken",0.21105527638190955,0.2663316582914573,0.10552763819095477,0.5,1.8773584905660379,1.0,0.049316936440998965,1.4673366834170856,0.5923566878980892,0.2837837837837838,0.3184931506849315,0.4481132075471698
"Easy Listening, Rock, Unknown","Experimental, Hip-Hop, Spoken",0.25125628140703515,0.2663316582914573,0.12562814070351758,0.5,1.8773584905660379,1.0,0.05871063862023686,1.4673366834170856,0.6241610738255033,0.32051282051282054,0.3184931506849315,0.4858490566037736
"Blues, Easy Listening, Electronic, Rock","Experimental, Spoken",0.135678391959799,0.3969849246231156,0.10050251256281408,0.7407407407407407,1.8659165494608532,1.0,0.04664023635766774,2.325915290739411,0.5369186046511628,0.23255813953488375,0.5700617283950618,0.496952648851383
"Country, Easy Listening, Electronic, Spoken","Experimental, Hip-Hop",0.135678391959799,0.4371859296482412,0.11055276381909548,0.8148148148148149,1.8637718177948064,1.0,0.051236079896972306,3.0391959798994987,0.5362050739957718,0.2391304347826087,0.6709656084656086,0.5338441890166028
"Electronic, Hip-Hop, Rock, Spoken","Easy Listening, Experimental",0.1708542713567839,0.36683417085427134,0.11557788944723618,0.6764705882352942,1.8440773569701856,1.0,0.05290270447715968,1.9570580173595253,0.5520421607378131,0.27380952380952384,0.4890289449112979,0.49576954069298956
"Electronic, Instrumental, Rock, Unknown","Hip-Hop, Spoken",0.1407035175879397,0.40703517587939697,0.10552763819095477,0.75,1.8425925925925926,1.0,0.04825635716269791,2.371859296482412,0.5321637426900585,0.23863636363636362,0.5783898305084746,0.5046296296296297
"Country, Easy Listening, Electronic","Experimental, Hip-Hop, Rock",0.20100502512562815,0.3015075376884422,0.11055276381909548,0.55,1.824166666666667,1.0,0.049948233630463884,1.552205471803462,0.5654659805603202,0.2820512820512821,0.3557553956834533,0.45833333333333337
"Old-Time / Historic, Pop, Rock, Soul-RnB","Jazz, Spoken",0.1457286432160804,0.3969849246231156,0.10552763819095477,0.7241379310344828,1.8240942819729375,1.0,0.047675563748390194,2.185929648241206,0.5288515406162465,0.24137931034482757,0.542528735632184,0.49498035792230466
"Pop, Rock, Soul-RnB, Spoken","Jazz, Old-Time / Historic",0.1457286432160804,0.3969849246231156,0.10552763819095477,0.7241379310344828,1.8240942819729375,1.0,0.047675563748390194,2.185929648241206,0.5288515406162465,0.24137931034482757,0.542528735632184,0.49498035792230466
"Easy Listening, Electronic, Experimental, Rock","Hip-Hop, Spoken",0.15577889447236182,0.40703517587939697,0.11557788944723618,0.7419354838709677,1.8227797690163283,1.0,0.05217039973738037,2.2977386934673367,0.5346790890269152,0.25842696629213485,0.5647895024603609,0.5129430505774591
"Easy Listening, Jazz, Pop","Old-Time / Historic, Rock, Spoken",0.20603015075376885,0.2814070351758794,0.10552763819095477,0.5121951219512195,1.8201219512195121,1.0,0.047549304310497205,1.4731155778894474,0.5675105485232067,0.27631578947368424,0.321166638239809,0.44359756097560976
"Country, Electronic, Hip-Hop, Spoken","Easy Listening, Experimental",0.1658291457286432,0.36683417085427134,0.11055276381909548,0.6666666666666667,1.8173515981735162,1.0,0.04972096664225652,1.8994974874371866,0.5391566265060241,0.261904761904762,0.47354497354497366,0.48401826484018273
"Easy Listening, International, Rock","Country, Experimental, Hip-Hop",0.21105527638190955,0.27638190954773867,0.10552763819095477,0.5,1.8090909090909093,1.0,0.04719577788439686,1.4472361809045227,0.5668789808917197,0.27631578947368424,0.3090277777777778,0.4409090909090909
"Easy Listening, Experimental, Instrumental","Hip-Hop, Rock, Spoken",0.22110552763819097,0.27638190954773867,0.11055276381909548,0.5,1.8090909090909093,1.0,0.049443195878891955,1.4472361809045227,0.5741935483870968,0.2857142857142857,0.3090277777777778,0.45000000000000007
"Easy Listening, Experimental, Pop","Hip-Hop, Rock, Spoken",0.22110552763819097,0.27638190954773867,0.11055276381909548,0.5,1.8090909090909093,1.0,0.049443195878891955,1.4472361809045227,0.5741935483870968,0.2857142857142857,0.3090277777777778,0.45000000000000007
"Easy Listening, Experimental, Rock, Unknown","Hip-Hop, Spoken",0.1708542713567839,0.40703517587939697,0.12562814070351758,0.7352941176470588,1.806463326071169,1.0,0.05608444231206282,2.240089335566722,0.5384242424242424,0.2777777777777778,0.5535892323030907,0.5219680464778503
"Easy Listening, Electronic, Hip-Hop, Rock","Country, Experimental",0.1507537688442211,0.40703517587939697,0.11055276381909548,0.7333333333333334,1.8016460905349796,1.0,0.049190677003106,2.2236180904522618,0.5239376008606779,0.2471910112359551,0.5502824858757063,0.5024691358024692
"Experimental, Instrumental, Rock, Unknown","Hip-Hop, Spoken",0.1507537688442211,0.40703517587939697,0.11055276381909548,0.7333333333333334,1.8016460905349796,1.0,0.049190677003106,2.2236180904522618,0.5239376008606779,0.2471910112359551,0.5502824858757063,0.5024691358024692
"Country, Electronic, International, Old-Time / Historic","Experimental, Spoken",0.1407035175879397,0.3969849246231156,0.10050251256281408,0.7142857142857143,1.7992766726943943,1.0,0.04464533723895862,2.1105527638190953,0.5169590643274854,0.22988505747126436,0.5261904761904763,0.4837251356238698
