year,month,month_name,genre_name,total_plays,total_seconds
2026,6,June,Unknown,125,20057.0
2026,6,June,Hip-Hop,72,12998.0
2026,6,June,Country,65,11053.0
2026,6,June,Rock,64,10550.0
2026,6,June,Electronic,43,6122.0
2026,6,June,Blues,37,6868.0
2026,6,June,Old-Time / Historic,37,6454.0
2026,6,June,Spoken,36,5995.0
2026,6,June,Pop,34,5857.0
2026,6,June,Folk,32,6205.0
2026,6,June,Instrumental,30,5041.0
2026,6,June,Experimental,29,4848.0
2026,6,June,Classical,24,4171.0
2026,6,June,Easy Listening,22,3696.0
2026,6,June,Soul-RnB,22,3281.0
2026,6,June,International,20,3019.0
2026,6,June,Jazz,16,2671.0
2026,7,July,Electronic,801,131171.0
2026,7,July,Hip-Hop,739,123055.0
2026,7,July,Pop,733,117954.0
2026,7,July,Unknown,713,114940.0
2026,7,July,International,687,111092.0
2026,7,July,Classical,681,112157.0
2026,7,July,Jazz,660,108658.0
2026,7,July,Spoken,658,109148.0
2026,7,July,Easy Listening,649,106962.0
2026,7,July,Old-Time / Historic,646,105956.0
2026,7,July,Soul-RnB,638,104056.0
2026,7,July,Instrumental,635,103163.0
2026,7,July,Rock,625,103975.0
2026,7,July,Blues,617,101952.0
2026,7,July,Country,611,102018.0
2026,7,July,Experimental,580,94762.0
2026,7,July,Folk,436,73282.0
2026,8,August,Pop,11,1595.0
2026,8,August,Electronic,4,903.0
2026,8,August,Old-Time / Historic,2,227.0
2026,8,August,Spoken,2,236.0
2026,8,August,Experimental,1,36.0
2026,8,August,Instrumental,1,216.0
