user_id,user_name,total_plays,total_seconds,average_duration,unique_songs,unique_genres,completed_plays,total_likes,completion_rate
46,Synthetic User 46,80,12971.0,162.14,80,17,51,12,63.75
91,Synthetic User 91,80,13553.0,169.41,68,9,49,14,61.25
9,Synthetic User 9,80,12544.0,156.8,80,10,47,14,58.75
76,Synthetic User 76,80,12775.0,159.69,79,10,50,19,62.5
172,Synthetic User 172,80,13398.0,167.48,79,13,52,18,65.0
139,Synthetic User 139,80,13235.0,165.44,69,14,55,11,68.75
37,Synthetic User 37,80,12067.0,150.84,72,14,51,17,63.75
43,Synthetic User 43,80,14405.0,180.06,79,13,52,13,65.0
138,Synthetic User 138,79,12332.0,156.1,79,13,55,12,69.62
185,Synthetic User 185,79,13364.0,169.16,79,11,57,9,72.15
128,Synthetic User 128,78,12778.0,163.82,74,13,52,16,66.67
109,Synthetic User 109,78,14119.0,181.01,74,14,49,10,62.82
14,Synthetic User 14,78,13096.0,167.9,77,12,59,15,75.64
42,Synthetic User 42,78,11239.0,144.09,76,14,52,9,66.67
50,Synthetic User 50,78,12595.0,161.47,70,10,52,9,66.67
107,Synthetic User 107,78,11940.0,153.08,78,11,47,12,60.26
181,Synthetic User 181,78,12468.0,159.85,78,14,51,15,65.38
143,Synthetic User 143,77,13154.0,170.83,76,12,41,14,53.25
104,Synthetic User 104,77,12083.0,156.92,68,14,48,12,62.34
144,Synthetic User 144,76,12316.0,162.05,76,9,55,17,72.37
16,Synthetic User 16,76,11820.0,155.53,76,11,43,19,56.58
82,Synthetic User 82,76,11578.0,152.34,76,8,42,13,55.26
117,Synthetic User 117,76,13047.0,171.67,76,13,48,12,63.16
175,Synthetic User 175,76,12452.0,163.84,76,10,53,15,69.74
59,Synthetic User 59,75,12283.0,163.77,61,8,43,12,57.33
87,Synthetic User 87,75,10863.0,144.84,75,9,54,6,72.0
38,Synthetic User 38,75,11170.0,148.93,75,8,49,11,65.33
79,Synthetic User 79,75,14018.0,186.91,73,12,56,13,74.67
169,Synthetic User 169,75,12863.0,171.51,72,13,51,17,68.0
182,Synthetic User 182,75,13298.0,177.31,75,12,56,15,74.67
10,Synthetic User 10,74,11379.0,153.77,70,13,54,15,72.97
127,Synthetic User 127,74,12107.0,163.61,73,12,47,8,63.51
134,Synthetic User 134,74,12184.0,164.65,73,12,46,14,62.16
173,Synthetic User 173,73,12138.0,166.27,73,11,49,15,67.12
192,Synthetic User 192,73,11952.0,163.73,59,9,42,15,57.53
142,Synthetic User 142,73,11622.0,159.21,67,11,53,13,72.6
60,Synthetic User 60,73,11593.0,158.81,73,12,44,16,60.27
15,Synthetic User 15,73,12518.0,171.48,73,10,44,19,60.27
24,Synthetic User 24,72,12517.0,173.85,69,13,43,15,59.72
196,Synthetic User 196,72,11979.0,166.38,69,12,41,11,56.94
124,Synthetic User 124,72,12181.0,169.18,66,13,44,11,61.11
116,Synthetic User 116,72,10875.0,151.04,70,10,45,5,62.5
85,Synthetic User 85,72,12488.0,173.44,71,11,47,13,65.28
73,Synthetic User 73,71,12474.0,175.69,58,12,46,14,64.79
65,Synthetic User 65,71,12006.0,169.1,69,11,44,13,61.97
190,Synthetic User 190,71,11735.0,165.28,68,12,46,15,64.79
112,Synthetic User 112,71,11354.0,159.92,71,15,53,13,74.65
106,Synthetic User 106,71,12065.0,169.93,71,11,45,9,63.38
197,Synthetic User 197,71,11174.0,157.38,71,12,44,15,61.97
118,Synthetic User 118,71,12425.0,175.0,71,13,47,14,66.2
147,Synthetic User 147,71,11495.0,161.9,71,9,39,14,54.93
158,Synthetic User 158,70,10791.0,154.16,70,11,50,10,71.43
99,Synthetic User 99,70,12348.0,176.4,69,14,41,10,58.57
80,Synthetic User 80,70,10902.0,155.74,70,11,43,7,61.43
40,Synthetic User 40,69,11518.0,166.93,65,13,43,19,62.32
162,Synthetic User 162,69,11962.0,173.36,67,10,40,11,57.97
137,Synthetic User 137,68,11460.0,168.53,63,11,51,14,75.0
48,Synthetic User 48,68,9737.0,143.19,68,11,43,12,63.24
